X,Y,timestamp,moisture,speed,width,yield,yield (bu/ac)
440820.4749,5018645.141,2021-11-07T01:10:00,21,5.8840909,20.01000023,6933.422852,123.8111224
440821.7508,5018642.881,2021-11-07T01:10:01,21.20000076,5.815908909,20.01000023,7068.344727,126.2204416
440823.0124,5018640.607,2021-11-07T01:10:02,21.60000038,5.815908909,20.01000023,7032.464355,125.5797206
440824.2739,5018638.319,2021-11-07T01:10:03,21.89999962,5.863636494,20.01000023,6784.762695,121.1564767
440825.5353,5018636.017,2021-11-07T01:10:04,22.20000076,5.8840909,20.01000023,6386.833008,114.0505894
440826.7966,5018633.7,2021-11-07T01:10:05,22.5,5.925000191,20.01000023,5881.741699,105.0311018
440828.0577,5018631.37,2021-11-07T01:10:06,22.60000038,5.952272892,20.01000023,5527.466797,98.70476423
440829.3329,5018629.04,2021-11-07T01:10:07,22.5,5.925000191,20.01000023,5491.157715,98.05638777
440830.6083,5018626.723,2021-11-07T01:10:08,22.39999962,5.925000191,20.01000023,5682.284668,101.4693691
440831.8834,5018624.379,2021-11-07T01:10:09,22.5,5.993181705,20.01000023,5928.398926,105.8642665
440833.1864,5018622.006,2021-11-07T01:10:10,22.60000038,6.04090929,20.01000023,6076.521973,108.5093209
440834.4895,5018619.633,2021-11-07T01:10:11,22.70000076,6.04090929,20.01000023,6113.624512,109.1718663
440835.7785,5018617.274,2021-11-07T01:10:12,22.79999924,6.061363697,20.01000023,5973.252441,106.6652222
440837.1097,5018614.901,2021-11-07T01:10:13,23,6.081818104,20.01000023,5804.308105,103.648359
440838.4551,5018612.528,2021-11-07T01:10:14,23.29999924,6.109090805,20.01000023,5711.776367,101.9960066
440839.7863,5018610.154,2021-11-07T01:10:15,23.5,6.081818104,20.01000023,5810.806152,103.7643956
440841.1036,5018607.796,2021-11-07T01:10:16,23.5,6.04090929,20.01000023,6139.328613,109.6308681
440842.4067,5018605.437,2021-11-07T01:10:17,23.39999962,6.061363697,20.01000023,6437.378906,114.9531948
440843.7237,5018603.05,2021-11-07T01:10:18,23.39999962,6.081818104,20.01000023,6504.22168,116.1468157
440845.0407,5018600.663,2021-11-07T01:10:19,23.10000038,6.109090805,20.01000023,6301.54834,112.5276489
440846.3718,5018598.275,2021-11-07T01:10:20,22.60000038,6.109090805,20.01000023,5941.94043,106.1060791
440847.6887,5018595.874,2021-11-07T01:10:21,22.10000038,6.150000095,20.01000023,5451.061523,97.34038434
440849.0198,5018593.487,2021-11-07T01:10:22,21.70000076,6.129545689,20.01000023,5071.01123,90.55377196
